"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"cyp2k8",0.934555628024464,0,4.85660611202952,0,1,NA,"cyp2k8",0,0,"No significativo"
"arhgef9b",3371.19386237704,-0.111654988412372,0.238581048700353,-0.467996050066012,0.63978741439066,0.889702918037053,"arhgef9b",0.193964307412975,0.0969821537064876,"No significativo"
"man2a1",28.6544019877084,-2.72949732829298,2.32856645360081,-1.1721792711014,NA,NA,"man2a1",NA,NA,"No significativo"
"ppp1r26",695.037751558185,0.473263609458205,0.333216277405446,1.4202895883215,0.155523391041957,0.536630456577243,"ppp1r26",0.808204282929925,0.404102141464963,"No significativo"
"lrrc51",6.20428624369419,-4.49770200517866,3.37777311347987,-1.33155835341025,0.183005357832169,NA,"lrrc51",0.737536195281134,0.368768097640567,"No significativo"
"zeb2a",2069.02909768569,0.434837049251132,0.365498771884841,1.1897086466494,0.234160925710071,0.631969627688324,"zeb2a",0.630485573671373,0.315242786835687,"No significativo"
"aurkb",495.494430130256,1.14996605234248,0.565567020263981,2.03329757772248,0.0420224677598573,0.287643418013826,"aurkb",1.37651844733655,0.688259223668277,"Positivo"
"gcat",424.569087997931,0.346510395384485,0.512602189486333,0.675983057605968,0.499051401935215,0.826169792327928,"gcat",0.30185472005371,0.150927360026855,"No significativo"
"lrrc59",75.5483581403547,-0.57118525003399,0.799652126918216,-0.714292166313975,0.475046535220412,NA,"lrrc59",0.323263845112968,0.161631922556484,"No significativo"
"pgrmc2",1107.19076248105,0.463766805555035,0.281170930039975,1.64941235386282,0.0990631855246395,0.438141183272303,"pgrmc2",1.00408771074152,0.502043855370759,"No significativo"
"pgrmc1",873.171416925189,-0.117702485324778,0.278949434437593,-0.421949180725477,0.67306211136884,0.902185289882192,"pgrmc1",0.171944856459412,0.0859724282297062,"No significativo"
"denr",5918.92677653759,0.528023113067431,0.23317644152971,2.26447881957301,0.0235446810128541,0.214902597184548,"denr",1.62810718907327,0.814053594536637,"No significativo"
"fli1rs",407.935671049003,0.419010286064007,0.5391256405377,0.777203409665518,0.437038770885393,0.791746002334547,"fli1rs",0.359480033888408,0.179740016944204,"No significativo"
"histh1l",4817.9169042335,0.467151261533457,0.301244479071143,1.5507380018179,0.120964483572089,0.481560427412871,"histh1l",0.917342124335175,0.458671062167587,"No significativo"
"penkb",1083.24463715491,-0.271941451207603,0.45007312604126,-0.604216149494499,0.545699945355559,0.84650133853433,"penkb",0.263046089705548,0.131523044852774,"No significativo"
"fgf10a",5.88370255020602,-1.7636365160845,2.68833483532771,-0.656033055446945,0.511802855952288,NA,"fgf10a",0.290897295000497,0.145448647500249,"No significativo"
"mansc1",3289.69268494621,0.595128100447484,0.208170750340395,2.85884592083348,0.00425185248522495,0.0783619075982586,"mansc1",2.37142181140277,1.18571090570138,"No significativo"
"jac6",0.901991293521955,0,4.85660611198493,0,1,NA,"jac6",0,0,"No significativo"
"hoxc6b",1.33665798720815,0.997093264952975,4.64749975401094,0.214544016724789,0.830122845583518,NA,"hoxc6b",0.0808576338754053,0.0404288169377026,"No significativo"
"zgc:92591",21.0955242443356,0.979493294134114,1.96038413928289,0.499643551744106,0.617326085957252,NA,"zgc:92591",0.209485370938405,0.104742685469203,"No significativo"
"ess2",196.797620293278,0.128630497211742,0.49877565480522,0.257892493293351,0.796489878440132,0.944447635576828,"ess2",0.0988197387147375,0.0494098693573687,"No significativo"
"zgc:92594",524.718629734862,-0.200846542481871,0.322327646645899,-0.623112986341244,0.533210276435242,0.841746661119227,"zgc:92594",0.273101489122935,0.136550744561467,"No significativo"
"zgc:173948",3803.6315379885,0.137726820884151,0.509323703664021,0.270411174452237,0.786843944252922,0.941509262509752,"zgc:173948",0.10411139327022,0.0520556966351101,"No significativo"
"zgc:162144",27.4573033821721,-0.697209945594031,1.83271780124454,-0.38042405935086,0.703630657975876,NA,"zgc:162144",0.152655246105311,0.0763276230526553,"No significativo"
"mfsd2ab",134.998029095266,-0.468400577055386,0.558781997127723,-0.838252806037202,0.401888735274901,NA,"mfsd2ab",0.395894166678115,0.197947083339057,"No significativo"
"sertad2b",350.044010817722,-0.869908144833839,0.947669525989432,-0.917944622019575,0.358647858850727,0.74001226885468,"sertad2b",0.445331757584963,0.222665878792482,"No significativo"
"mfsd2aa",304.054839107179,0.110726172214268,0.623127609844158,0.177694216184644,0.858963127777927,0.960229213824658,"mfsd2aa",0.0660254784810697,0.0330127392405348,"No significativo"
"si:ch211-151h10.2",111.067715678946,1.62100288420548,0.908773887187515,1.78372520058007,0.0744683291329294,NA,"si:ch211-151h10.2",1.12802839043607,0.564014195218033,"No significativo"
"ralbb",22.8256806741806,1.41711895923064,2.18024707742118,0.649980900745812,0.515704558750694,NA,"ralbb",0.287599029478451,0.143799514739225,"No significativo"
"ralba",361.557138858042,0.237366533220541,0.429753781867607,0.552331458699452,0.580721280994395,0.864083510638551,"ralba",0.236032258607473,0.118016129303737,"No significativo"
"pex11a",4.21680133438118,5.70763252862435,4.54763846399078,1.25507613980721,0.209451121193335,NA,"pex11a",0.678917310515102,0.339458655257551,"No significativo"
"zgc:56106",1225.7664578355,0.128167226272769,0.201443758597004,0.636243223247103,0.524617904842523,0.838823840018651,"zgc:56106",0.280156891325514,0.140078445662757,"No significativo"
"sept8b",1751.75848750548,0.687442068245466,0.25298167676822,2.7173591266663,0.00658051620804979,0.0994739676107252,"sept8b",2.18174003685502,1.09087001842751,"No significativo"
"hmx3a",171.070287777755,-0.0531290449933154,0.758797082334361,-0.0700174608340207,0.944179762008528,0.987831753505514,"hmx3a",0.0249453126764405,0.0124726563382202,"No significativo"
"trim54",24.1329041810072,-0.0476399879735887,2.43607432565225,-0.0195560486278813,0.984397525235082,NA,"trim54",0.0068294867795755,0.00341474338978775,"No significativo"
"si:dkey-239i20.2",11.2394012410755,-0.0667672572394864,3.1304666077516,-0.0213282125655513,0.982983838582002,NA,"si:dkey-239i20.2",0.00745362242458355,0.00372681121229178,"No significativo"
"irx5a",3340.18134498663,0.156230832547892,0.284846244898092,0.548474257063794,0.583366300706736,0.865257788250676,"irx5a",0.234058662358308,0.117029331179154,"No significativo"
"aspscr1",3228.87819060445,-0.185645344177798,0.392780968417182,-0.47264343006716,0.63646759215592,0.888421650890669,"aspscr1",0.196223704981534,0.0981118524907672,"No significativo"
"tnfaip8l3",263.298148615923,0.143962541125209,0.864409574101389,0.166544362115456,0.867728574694644,0.96259539030661,"tnfaip8l3",0.0616161007988877,0.0308080503994438,"No significativo"
"tnfaip8l1",30.5978988672804,1.12188223614192,2.09037955034056,0.53668829469708,0.591482942824081,NA,"tnfaip8l1",0.228057775032993,0.114028887516496,"No significativo"
"acox3",263.43266165432,-0.665954396101964,1.05189019599909,-0.633102579180747,0.526666658121828,0.839695475712138,"acox3",0.278464174811397,0.139232087405699,"No significativo"
"acox1",1081.94374982211,0.490514108635812,0.343768555302473,1.42687311294141,0.153616472083536,0.533907958879312,"acox1",0.813562213006143,0.406781106503072,"No significativo"
"zgc:172090",50.3694962080251,0.165886761506035,1.29529928060541,0.128068288147663,0.898094931745423,NA,"zgc:172090",0.0466777544750908,0.0233388772375454,"No significativo"
"il1fma",2.03131030327828,5.33367329631481,4.7287879962665,1.1279155040416,0.25935560548153,NA,"il1fma",0.586104361114048,0.293052180557024,"No significativo"
"pikfyve",15345.8753921368,-0.0395916345318682,0.187538269197113,-0.211112295647003,0.832799645912454,0.95461523678982,"pikfyve",0.0794594681496578,0.0397297340748289,"No significativo"
