"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"tbl2",1605.1665300328,1.60153800257089,0.36856638730907,4.34531758108447,1.39074306083183e-05,0.000189755114197166,"tbl2",4.85675309831143,2.42837654915571,"Positivo"
"boka",214.78074265538,-1.54659264249371,1.21429279627207,-1.27365710085888,0.202784966137171,0.390481507563894,"boka",0.692964245421971,0.346482122710985,"No significativo"
"bokb",11.4408416227208,-5.02864250895337,2.74182075221924,-1.83405224607888,0.0666462390748591,0.17732589854103,"bokb",1.17622435330369,0.588112176651847,"No significativo"
"mrpl19",864.070341179877,-1.17996925701727,0.29215934212292,-4.03878667183204,5.37284010930974e-05,0.000589792302347991,"mrpl19",4.26979608343609,2.13489804171805,"Negativo"
"mcl1b",1015.23433750938,-0.113699378305013,0.438393885412538,-0.259354389028531,0.795361818190636,0.898224631556968,"mcl1b",0.099435261410294,0.049717630705147,"No significativo"
"fbl",1261.58306007808,-1.03386324010014,0.389372205246652,-2.65520554926417,0.00792600958466589,0.0357833688220323,"fbl",2.1009454068233,1.05047270341165,"Negativo"
"si:dkey-174m14.3",5481.90190578206,-0.0627290806220479,0.238818890236438,-0.262663814239921,0.792809709720139,0.896940654417819,"si:dkey-174m14.3",0.100831039587293,0.0504155197936466,"No significativo"
"phpt1",293.741156841969,-1.01898244211356,0.673714106664815,-1.51248494284612,0.130410540265379,0.289219508846781,"phpt1",0.88468730588862,0.44234365294431,"No significativo"
"afg1lb",732.479608770961,-0.215499079774174,0.408261382932748,-0.527845857538949,0.597606325860888,0.762572039269079,"afg1lb",0.223584814017396,0.111792407008698,"No significativo"
"afg1la",1281.10990031909,-0.0355791325763971,0.331208020707379,-0.107422315741052,0.914453951538224,0.963126156257868,"afg1la",0.0388381590736966,0.0194190795368483,"No significativo"
"fam228a",234.004198636809,1.02858414364373,1.16638909399957,0.881853361742863,0.37785611059251,0.578407877954041,"fam228a",0.42267355008998,0.21133677504499,"No significativo"
"znhit2",143.37540101238,0.239939365676375,0.583015263439392,0.411549029198476,0.680669997749999,0.823386220354476,"znhit2",0.167063391600157,0.0835316958000784,"No significativo"
"atp1a1a.4",32.8884534505162,0.0669609885710525,2.36577534633116,0.0283040351548576,0.977419662302455,0.995063943532435,"atp1a1a.4",0.00991892871733411,0.00495946435866706,"No significativo"
"atp1a1a.5",2.99633546123258,-6.57176493380196,4.71494725840944,-1.39381515288019,0.163373431140489,0.338268225560122,"atp1a1a.5",0.786818569879954,0.393409284939977,"No significativo"
"atp1a1a.2",45.1074461541099,2.38802111906339,1.61285275402224,1.48061942611189,0.138708015803524,0.301534429356297,"atp1a1a.2",0.857898440738913,0.428949220369456,"No significativo"
"tfr2",52.5565997280252,-8.80825160998053,2.05684137512854,-4.28241658131273,1.84874449594468e-05,0.000241299486524698,"tfr2",4.73312310596836,2.36656155298418,"Negativo"
"atp1a1a.1",5571.07703969454,-1.03901758874502,0.318364091687383,-3.26361425761947,0.0011000082007021,0.00730191809539131,"atp1a1a.1",2.95860407710869,1.47930203855435,"Negativo"
"grhprb",11.7021035923607,-0.655098245418113,3.03598599857533,-0.215777755801747,0.829160988170311,0.918407853192092,"grhprb",0.0813611395508371,0.0406805697754185,"No significativo"
"grhpra",796.501878090684,-1.73526899055082,1.1658793371539,-1.48837785802679,0.136651272526807,0.298607519155688,"grhpra",0.864386319706432,0.432193159853216,"No significativo"
"h3f3d",14671.3650851141,0.282781341394335,0.176360457326318,1.60342826096842,0.108840135777346,0.254870456357506,"h3f3d",0.96321092511246,0.48160546255623,"No significativo"
"emp2",16.8705848344436,-0.815677035140744,2.4011393228656,-0.339704167672906,0.734079322858842,0.860090342355819,"emp2",0.134257008723504,0.0671285043617518,"No significativo"
"selenou1b",222.523177745434,1.21390001102464,0.439194185970681,2.76392550220524,0.00571105766507138,0.0277057940848534,"selenou1b",2.243283454702,1.121641727351,"Positivo"
"selenou1a",329.692325472359,-1.41728416439277,0.698810972441403,-2.02813667827978,0.0425463003983012,0.127122334633776,"selenou1a",1.3711381978933,0.685569098946651,"Negativo"
"zgc:162879",23.9661492744295,-6.42384172388009,2.20878298600933,-2.90831727904887,0.00363379459152502,0.019234810244932,"zgc:162879",2.43963962581404,1.21981981290702,"Negativo"
"znf408",238.874517154535,0.667850603248048,0.634956870004013,1.05180467335337,0.292889174483053,0.494234506498955,"znf408",0.533296680039667,0.266648340019833,"No significativo"
"erap1b",644.160159219172,0.600085578651134,0.264394198615621,2.26966242751621,0.0232280727382906,0.0814992511904262,"erap1b",1.63398682265125,0.816993411325625,"No significativo"
"caska",5010.37273989514,0.184882163179982,0.163935688794508,1.12777250969269,0.259416006001101,0.45868003151207,"caska",0.586003231399578,0.293001615699789,"No significativo"
"zgc:162872",200.283427630917,-2.16597343042589,1.05814940375132,-2.04694481020086,0.040663503691638,0.122945122432146,"zgc:162872",1.39079520394716,0.695397601973579,"Negativo"
"gstk4",190.016250756815,-1.35371195100429,1.02187696353144,-1.32473086224205,0.18526043312649,0.368410387365134,"gstk4",0.732217324932031,0.366108662466015,"No significativo"
"snap23.1",834.280400517631,-0.0563356521978591,0.311470772075657,-0.180869786986546,0.85646978418293,0.933358979783894,"snap23.1",0.0672879541159785,0.0336439770579893,"No significativo"
"urahb",71.3672192757472,1.44621931299501,1.70716958215861,0.847144494670734,0.396914586955647,0.596331599870733,"urahb",0.401302940100307,0.200651470050154,"No significativo"
"hip1rb",1409.34031455341,-0.568047048947102,0.298497827899226,-1.90301903683828,0.0570380612532857,0.158097860497106,"hip1rb",1.24383524474997,0.621917622374987,"No significativo"
"ada2a",684.482961126257,-1.6045000327255,0.528612296509125,-3.03530591952055,0.00240291819628506,0.0137520075208111,"ada2a",2.61926101384309,1.30963050692155,"Negativo"
"panx1b",23.2955380591859,-0.132460358679088,1.65560603557994,-0.0800071731030436,0.936231550950805,0.97454056528163,"panx1b",0.0286167272622558,0.0143083636311279,"No significativo"
"panx1a",334.660189395837,-1.04132565020174,1.06656768420103,-0.97633339695811,0.328899275084419,0.532208777320481,"panx1a",0.482937083729822,0.241468541864911,"No significativo"
"med6",2179.14616176342,0.992702207795317,0.292092116968141,3.39859294423749,0.000677334440097879,0.00487644768442808,"med6",3.16919684146997,1.58459842073499,"No significativo"
"rwdd",311.825352737784,-0.238654554415302,0.504426890292816,-0.473120206333102,0.636127421517398,0.789906848645687,"rwdd",0.196455882906399,0.0982279414531997,"No significativo"
"med4",753.298246430091,0.00784870659986226,0.2170347416223,0.0361633650962719,0.9711520972882,0.991001273912393,"med4",0.0127127475996219,0.00635637379981097,"No significativo"
"smyd1b",1062.20799265293,1.90090844900762,0.525208200974428,3.6193426635015,0.000295352323677796,0.00247222863387691,"smyd1b",3.52965960799064,1.76482980399532,"Positivo"
"med8",2370.95655775046,1.47981247100976,0.339890661217633,4.35378973258177,1.33804051909979e-05,0.00018423579273668,"med8",4.87353073488284,2.43676536744142,"Positivo"
"zbtb34",59.384181526192,-3.35484316269779,1.84757942005974,-1.81580457450068,0.0694003553335415,0.182714220859654,"zbtb34",1.15863830592841,0.579319152964206,"No significativo"
"zbtb37",36.4368004302123,-1.80151730459234,1.40142709902183,-1.2854877045333,0.198621910624599,0.385370923208707,"zbtb37",0.701972844770712,0.350986422385356,"No significativo"
"gpr146",413.539252768633,-1.31714160219237,0.450666190986476,-2.92265456902645,0.0034706131190811,0.0184903076626008,"gpr146",2.45959379589724,1.22979689794862,"Negativo"
"impdh1b",868.644826034342,-0.566505000378336,0.36755996502141,-1.54125871773151,0.123253831851299,0.278190643756952,"impdh1b",0.909199570014175,0.454599785007087,"No significativo"
"alg10",48.7605952541548,-9.64134393915812,1.7966502160831,-5.36628880393723,8.03732115421997e-08,2.46182495342956e-06,"alg10",7.09488867784371,3.54744433892186,"Negativo"
"impdh1a",73.7960223400115,2.24275370113756,1.48357592713864,1.51172155068811,0.130604713831918,0.289468297682803,"impdh1a",0.884041148066716,0.442020574033358,"No significativo"
"zdhhc8b",1027.40019974752,-0.363510320782829,0.278103386035671,-1.30710497978692,0.191177060264403,0.376378102861991,"zdhhc8b",0.718564220837528,0.359282110418764,"No significativo"
"si:dkey-11o15.10",3.35042202697729,-5.44651815898611,4.71869817028529,-1.15424169176237,0.248401094198963,0.445312425163307,"si:dkey-11o15.10",0.604846495437788,0.302423247718894,"No significativo"
"mrpl1",106.960192721751,0.353648474816352,1.18463952363006,0.298528343654006,0.765299946650813,0.880511286800302,"mrpl1",0.116168316945287,0.0580841584726437,"No significativo"
"arhgef1b",1102.04546395968,-0.561594751028163,0.383972676048401,-1.46259040306652,0.143579490833261,0.308991463125236,"arhgef1b",0.842907591110854,0.421453795555427,"No significativo"
"cdk1",31.1521365786547,-7.72849492958328,2.69019536836862,-2.87283779477695,0.00406802923216612,0.0210155632280032,"cdk1",2.3906159349718,1.1953079674859,"Negativo"
"cdk2",20.2610700586938,-1.17220364425474,2.68285756922504,-0.436923546632159,0.662166794718417,0.80902938856416,"cdk2",0.179032601343137,0.0895163006715683,"No significativo"
"adgra2",28.2334089812169,-3.54412591882258,2.54370804748734,-1.39329115317438,0.163531764801651,0.338492496802316,"adgra2",0.786397876409353,0.393198938204676,"No significativo"
"cdk4",202.575542246072,0.0372090299922492,0.572219537455054,0.0650257943965639,0.948153462754066,0.979602779836842,"cdk4",0.0231213645254978,0.0115606822627489,"No significativo"
"ihhb",5.77745534031185,-6.83267208766005,4.7136590358753,-1.44954737617997,0.147184779834389,0.314268180321573,"ihhb",0.832137097442093,0.416068548721046,"No significativo"
"cdk6",14.6686372401419,0.2569603239755,2.14583375244389,0.119748477104924,0.90468239744677,0.956736626718598,"cdk6",0.0435038597397927,0.0217519298698964,"No significativo"
"cdk7",792.949837100048,-0.25125530725543,0.309701600998928,-0.811281912799348,0.417203794587171,0.614829742974668,"cdk7",0.37965175019571,0.189825875097855,"No significativo"
"hipk3a",1217.64144773485,-1.66233025064225,0.38234154753281,-4.34776252115159,1.37533402667411e-05,0.000188591991158712,"hipk3a",4.86159181214361,2.4307959060718,"Negativo"
"cdk9",608.772191467785,0.486170847806261,0.322153228541101,1.50912921161128,0.131265765799061,0.290307539230439,"cdk9",0.881848523439447,0.440924261719723,"No significativo"
"hipk3b",530.1320935343,-1.38669339385154,0.29630701243819,-4.67992094564691,2.86985553901932e-06,5.16621131997264e-05,"hipk3b",5.54213996395792,2.77106998197896,"Negativo"
"plaa",2091.31174470451,0.912805064761665,0.287566511019772,3.17423980116691,0.0015022951844186,0.00944429415750382,"plaa",2.82324472487601,1.41162236243801,"No significativo"
"tcf7",74.4257250169918,-1.18175907367293,1.3892910828382,-0.850620210747119,0.394980358714222,0.595019505799633,"tcf7",0.40342450010548,0.20171225005274,"No significativo"
"xpc",3893.96205433191,1.10994410329521,0.237212608558674,4.67911090409288,2.88121573198719e-06,5.178918317722e-05,"xpc",5.54042422255821,2.7702121112791,"Positivo"
"xpa",67.4220697637434,-3.11724997280596,1.33172089646121,-2.34076823536332,0.0192441091143586,0.0705495711979534,"xpa",1.71570218930691,0.857851094653457,"Negativo"
"rspry1",1117.542875407,-0.427842446360072,0.28451982140062,-1.50373511502261,0.132649583855073,0.292317179661089,"rspry1",0.877294108137205,0.438647054068603,"No significativo"
